"","M","B","A"
"327",0.00128381684340348,0.983303666356536,0.0154125168000601
"328",0.0143282613065398,0.488355827795589,0.497315910897871
"329",0.00180148064968096,0.857481113834756,0.140717405515563
"330",0.00261380539865001,0.855586994975586,0.141799199625764
"331",0.00259205558643732,0.855319152579927,0.142088791833635
"332",0.00280207756869744,0.517360036376795,0.479837886054508
"333",0.00543373252880313,0.860007861398064,0.134558406073132
"334",0.00359733090769644,0.859419145585061,0.136983523507243
"335",1.06738364307305e-05,0.99914996036302,0.000839365800549184
"336",8.63267402973863e-05,0.993050431143197,0.0068632421165052
"337",1.28802770682372e-05,0.995454920899603,0.00453219882332881
"338",0.00191842694436864,0.774289348771205,0.223792224284427
"339",0.00118991558213789,0.692937338747215,0.305872745670647
"340",1.21050254969377e-11,8.83447575917549e-05,0.999911655230303
"341",0.000678143508571655,0.673176520249475,0.326145336241953
"342",3.91962500879118e-05,0.245024965354475,0.754935838395437
"343",1.66793842589048e-05,0.133713258575573,0.866270062040169
"344",0.135351092732745,0.111204113931949,0.753444793335306
"345",0.16979160014744,0.451107604323169,0.37910079552939
"346",0.0638791671291768,0.609755305496193,0.32636552737463
"347",0.0844048342562113,0.525877579187681,0.389717586556108
"348",0.0076270491433135,0.840097399664576,0.15227555119211
"349",0.00239549589791785,0.945500170582976,0.0521043335191063
"350",0.872855731260603,0.00268943516189129,0.124454833577505
"351",0.925274942432246,0.00160364907501662,0.0731214084927376
"352",0.930720656952718,0.00972110165693314,0.0595582413903484
"353",0.99994663383568,5.01230338613857e-09,5.33611520163364e-05
"354",0.930400352388098,0.00241890175584331,0.0671807458560583
"355",0.932177602531854,0.00584095983077425,0.0619814376373716
"356",0.892052158775618,0.0080488780372116,0.0998989631871699
"357",0.997740943207477,1.20490252643156e-05,0.00224700776725883
"358",0.997762201821778,1.24741921753202e-06,0.00223655075900407
"359",0.968125442650765,0.00211371318075225,0.0297608441684832
"360",0.97094160547289,0.000696922279180059,0.0283614722479302
"361",0.990289616229464,5.49967874267961e-05,0.00965538698310901
"362",0.92997639148302,0.0202560936208336,0.0497675148961468
"363",0.0456864168276031,0.676265746322654,0.278047836849743
"364",0.133619667712983,0.588035781247692,0.278344551039325
"365",0.57001636066215,0.144417768343241,0.28556587099461
"366",0.529546240874951,0.147691199370695,0.322762559754354
"367",0.00745252090910829,0.910324170718561,0.0822233083723311
"368",0.0144892975727382,0.792595136040251,0.19291556638701
"369",0.00905091845390132,0.901857162259979,0.0890919192861197
"370",0.936948932388647,0.0181838585097067,0.0448672091016465
"371",0.706098228525678,0.160424648830553,0.133477122643769
"372",0.829778650272043,0.01761605094516,0.152605298782797
"373",0.775696112492603,0.0351583708344,0.189145516672997
"374",0.864503813234891,0.00752604615873421,0.127970140606375
"375",0.981707929694973,0.000203952233517802,0.0180881180715088
"376",0.862494737536593,0.00642249358142932,0.131082768881978
"377",0.913122981805256,0.0075545180739321,0.0793225001208122
