Species	AN	Name	Code	Zooregion
Phyllocrania_paradoxa	NC_086795.1	Phypar	AF-MAD	7_10_9
Phyllothelys_breve	NC_086622.1	Phybre	AS	11_6
Phyllothelys_breve_2	MT024239.1	Phybre2	AS	11_6
Phyllothelys_shaanxiense	KX091863.1	Physha	AS	6
Phyllothelys_sinensis	NC_086824.1	Physin	AS	6
Phyllothelys_sp.	KY689119.1	Physpe	AS	11_12_6
Phyllothelys_werneri	NC_086825.1	Phywer	AS	11_6
Pliacanthopus_bimaculatus	NC_051490.1	Plibim	AS	6
Plistospilota_sp.	KX434821.1	Plispe	AF	7_9
Pnigomantis_medioconstricta	KX434851.1	Pnimed	AS-AUS	12
Polyspilota_griffinii	KX434863.1	Polgri	AF	9
Popa_spurca	KX434839.1	Popspu	AF-MAD	7_10
Prohierodula_picta	KX434855.1	Propic	AF	9
Prohierodula_sp.	KX434868.1	Prospe	AF	9
Pseudacanthops_lobipes	PV564197.1	Pselob	AM	2
Pseudempusa_pinnapavonis	NC_086821.1	Psepin	AS	11_6
Pseudempusa_pinnapavonis_2	KX434847.1	Psepin2	AS	11_6
Pseudocreobotra_wahlbergii	KX434811.1	Psewah	AF	7_9
Pseudogalepsus_sp.	KX434841.1	Psespe	AF	7
Pseudovates_chlorophaea	KX434838.1	Psechl	AM	2_3
Pseudovates_peruviana	MW357301.1	Pseper	AM	4
Pseudoyersinia_betancuriae	16CI1f	Psebet	EU-AF	5
Psychomantis_borneensis	NC_045876.1	Psybor	AS	11
Raptrix_fusca	NC_077477.1	Rapfus	AM	2
Rhombodera_brachynota	NC_034282.1	Rhobra	AS	11_6
Rhombodera_latipronotum	KX091864.1	Rholat	AS	11_6
Rhombodera_longa	NC_051489.1	Rholon	AS	11_6
Rhombodera_sp.	KX619654.1	Rhospe	AS-AUS	11_12_13_6
Rhombodera_valida	NC_034284.1	Rhoval	AS	11_6
Rivetina_baetica	RBE05	Rivbae	AF-EU-AS	5
Sceptuchus_simplex	NC_037206.1	Scesim	AS	11
Schizocephala_bicornis	NC_037207.1	Schbic	AS	11
Sibylla_pretiosa	NC_037235.1	Sibpre	AF	7
Sinomantis_denticulata	NC_063851.1	Sinden	AS	11_6
Sinomiopteryx_grahami	KX434860.1	Singra	AS	6
Sinomiopteryx_guangxiensis	MG888464.1	Singua	AS	11_6
Sinomiopteryx_sp.	OM202561.1	Sinspe	AS	11_6
Sphodromantis_lineola	NC_037204.1	Sphlin	AF	7_9
Sphodromantis_viridis	KX434840.1	Sphvir	AF	5_7_8
Spilomantis_occipitalis	KX434816.1	Spiocc	AS	11_6
Spilomantis_occipitalis_2	KX091854.1	Spiocc2	AS	11_6
Stagmatoptera_biocellata	MW357302.1	Stabio	AM	2
Statilia_agresta	NC_086820.1	Staagr	AS	6
Statilia_flavobrunnea	NC_065761.1	Stafla	AS	11_6
Statilia_maculata	NC_065760.1	Stamac	AM-AS-EU	1_5_11_12_6
Statilia_sp.	KU201316.1	Staspe	AM-AS-EU-AUS	1_5_11_12_14_6
Statilia_sp._2	OL414957.1	Staspe2	AM-AS-EU-AUS	1_5_11_12_14_6
Stenotoxodera_porioni	KY689118.1	Stepor	AS	11
Tamolanica_tamolana	NC_007702.1	Tamtam	AF	13
Tarachomantis_alaotrana	KX434862.1	Tarala	MAD	10
Taumantis_sigiana	KX434817.1	Tausig	AF	7
Tenodera_angustipennis	NC_065759.1	Tenang	AS-AM	1_6
Tenodera_aridifolia_brevicollis	OK542393.1	Tenaribre	AS-AM	6
Tenodera_sinensis	NC_030266.1	Tensin	AS-AM-EU	1_3_11_15_6
Tenodera_sp.	OM202552.1	Tenspe	AS-AM	1_7_11_12_14_13_15_6
Theopompa_maculosa	NC_086832.1	Themac	AS	6
Theopompa_milligratulata	KX434849.1	Themil	AS	11
Theopompa_ophthalmica	NC_086827.1	Theoph	AS	11_6
Theopompa_sp.	KU201314.1	Thespe	AS	11_12_6
Theopropus_cattulus	KX434829.1	Thecat	AS	11_6
Theopropus_elegans	KY689125.1	Theele	AS	11
Theopropus_rubrobrunneus	KX434818.1	Therub	AS	11
Theopropus_sinecus	NC_086823.1	Thesin	AS	11_6
Theopropus_sp.	OM202564.1	Thespe	AS	11_6
Toxodera_hauseri	KX434837.1	Toxhau	AS	11
Tropidomantis_tenera	NC_037205.1	Troten	AS	10_11_12
Yersinia_mexicana	MW357303.1	Yermex	AM	3
