AN	Species	Wings	Male	Female	Dimorphism	Photos_Male	Photos_Female
NC_086831.1	Gonypeta_brunneri	B	M	B	yes	https://www.inaturalist.org/observations/327523739_	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/NHMW-4_Gonypeta_punctata_F_DH_5d100mm_1	1_ZS.jpg_"
OM177664.1	Gonypeta_sp.	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/NHMW-5_Gonypeta_brigittae_M_DH_5d100mm_1	1_ZS.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/NHMW-6_Gonypeta_brigittae_PF_DH_5d100mm_1	1.5_ZS.jpg_"
KY689130.1	Haania_sp.	B	M	B	yes	https://www.inaturalist.org/taxa/362510-Haania-vitalisi/browse_photos	https://www.inaturalist.org/observations/115677925
KX434845.1	Haania_vitalisi	B	M	B	yes	https://www.inaturalist.org/taxa/362510-Haania-vitalisi/browse_photos	https://www.inaturalist.org/observations/115677926_
KX434859.1	Hestiasula_hoffmanni	B	M	B	yes	https://www.inaturalist.org/observations/265242474_	..
KX091855.1	Hestiasula_sp.	M	M	M	no	https://www.inaturalist.org/observations/205546316_	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC005239_DH_M_50mm_1	2.jpg_"
KX434823.1	Heterochaeta_sp.	M	M	B	yes	https://www.inaturalist.org/observations/268890450_	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC006272_Heterochaeta_sp_F_DH_50mm_1	5.jpg"
NC_065745.1	Hierodula_chinensis	M	M	M	no	https://www.inaturalist.org/observations/268197791_	https://www.inaturalist.org/observations/187791433_
NC_029326.1	Hierodula_formosana	M	M	M	no	https://www.inaturalist.org/observations/225062702_	https://www.inaturalist.org/observations/15444278_
NC_086819.1	Hierodula_latipennis	M	M	M	no	https://www.inaturalist.org/observations/195808836_	https://www.inaturalist.org/observations/282875141_
OK542392.1	Hierodula_longa	M	M	M	no	https://www.inaturalist.org/observations/186447323_	https://www.inaturalist.org/observations/248221652_
NC_065758.1	Hierodula_maculata	M	M	M	no	https://www.inaturalist.org/taxa/1097251-Hierodula-maculata/browse_photos_	https://www.inaturalist.org/observations/303733205_
KX434819.1	Hierodula_majuscula	M	M	M	no	https://www.inaturalist.org/taxa/566613-Hierodula-majuscula/browse_photos_	https://www.inaturalist.org/observations/214525283_
NC_048984.1	Hierodula_membranacea	M	M	M	no	https://www.inaturalist.org/observations/349385614_	https://www.inaturalist.org/observations/113641145_
KX434830.1	Hierodula_multispina	M	M	M	no	https://www.inaturalist.org/taxa/328037-Hierodula-patellifera/browse_photos_	https://www.inaturalist.org/observations/66528867_
NC_034283.1	Hierodula_patellifera	M	M	M	no	https://www.inaturalist.org/taxa/328037-Hierodula-patellifera/browse_photos_	https://www.inaturalist.org/observations/66528867
OL414959.1	Hierodula_sp.	M	M	M	no	""""""	""""""
