Code    AN      Family  Subfamily       Species	wing	Source
Phybre2	MT024239.1	Hymenopodidae	Phyllothelyinae	Phyllothelys_breve_2	macrottera
Physha	KX091863.1	Hymenopodidae	Phyllothelyinae	Phyllothelys_shaanxiense	macrottera
Physin	NC_086824.1	Hymenopodidae	Phyllothelyinae	Phyllothelys_sinensis	macrottera
Physpe	KY689119.1	Hymenopodidae	Phyllothelyinae	Phyllothelys_sp.	macrottera
Phywer	NC_086825.1	Hymenopodidae	Phyllothelyinae	Phyllothelys_werneri	macrottera
Plibim	NC_051490.1	Nanomantidae	Tropidomantinae	Pliacanthopus_bimaculatus	macrottera
Plispe	KX434821.1	Mantidae	Tenoderinae	Plistospilota_sp.	macrottera
Pnimed	KX434851.1	Mantidae	Hierodulinae	Pnigomantis_medioconstricta	macrottera
Polgri	KX434863.1	Mantidae	Tenoderinae	Polyspilota_griffinii	macrottera
Popspu	KX434839.1	Deroplatyidae	Popinae	Popa_spurca	m(macrotteri)-f(brachittere)
Propic	KX434855.1	Mantidae	Tenoderinae	Prohierodula_picta	m(macrotteri)-f(brachittere)
Prospe	KX434868.1	Mantidae	Tenoderinae	Prohierodula_sp.	m(macrotteri)-f(brachittere)
Pselob	PV564197.1	Acanthopidae	Acanthopinae	Pseudacanthops_lobipes	m(macrotteri)-f(brachittere)
Psepin	NC_086821.1	Deroplatyidae	Deroplatyinae	Pseudempusa_pinnapavonis	m(macrotteri)-f(brachittere)
Psepin2	KX434847.1	Deroplatyidae	Deroplatyinae	Pseudempusa_pinnapavonis_2	m(macrotteri)-f(brachittere)
Psewah	KX434811.1	Hymenopodidae	Hymenopodinae	Pseudocreobotra_wahlbergii	macrottera
Psespe	KX434841.1	Eremiaphilidae	Tarachodinae	Pseudogalepsus_sp.	m(macrotteri)-f(brachittere)
Psechl	KX434838.1	Mantidae	Vatinae	Pseudovates_chlorophaea	macrottera
Pseper	MW357301.1	Mantidae	Vatinae	Pseudovates_peruviana	macrottera
Psebet	16CI1f	Amelidae	na	Pseudoyersinia_betancuriae	brachittera
Psybor	NC_045876.1	Hymenopodidae	Acromantinae	Psychomantis_borneensis	macrottera
Rapfus	NC_077477.1	Acanthopidae	Stenophyllinae	Raptrix_fusca	m(macrotteri)-f(brachittere)
Rhobra	NC_034282.1	Mantidae	Hierodulinae	Rhombodera_brachynota	macrottera
Rholat	KX091864.1	Mantidae	Hierodulinae	Rhombodera_latipronotum	macrottera
Rholon	NC_051489.1	Mantidae	Hierodulinae	Rhombodera_longa	macrottera
Rhospe	KX619654.1	Mantidae	Hierodulinae	Rhombodera_sp.	macrottera
Rhoval	NC_034284.1	Mantidae	Hierodulinae	Rhombodera_valida	macrottera
Rivbae	RBE05	Rivetinidae	na	Rivetina_baetica	m(macrotteri)-f(brachittere)
Scesim	NC_037206.1	Nanomantidae	Nanomantinae	Sceptuchus_simplex	m(macrotteri)
Schbic	NC_037207.1	Eremiaphilidae	Iridinae	Schizocephala_bicornis	m(macrotteri)
Sibpre	NC_037235.1	Hymenopodidae	Sibyllinae	Sibylla_pretiosa	macrottera
Sinden	NC_063851.1	Nanomantidae	Tropidomantinae	Sinomantis_denticulata	macrottera
Singra	KX434860.1	Haaniidae	Haaniinae	Sinomiopteryx_grahami	m(macrotteri)-f(attere)
Singua	MG888464.1	Haaniidae	Haaniinae	Sinomiopteryx_guangxiensis	m(macrotteri)-f(attere)
Sinspe	OM202561.1	Haaniidae	Haaniinae	Sinomiopteryx_sp.	m(macrotteri)-f(attere)
Sphlin	NC_037204.1	Mantidae	Tenoderinae	Sphodromantis_lineola	macrottera
Sphvir	KX434840.1	Mantidae	Tenoderinae	Sphodromantis_viridis	macrottera
Spiocc	KX434816.1	Gonypetidae	Iridopteryginae	Spilomantis_occipitalis	macrottera
Spiocc2	KX091854.1	Gonypetidae	Iridopteryginae	Spilomantis_occipitalis_2	macrottera
Stabio	MW357302.1	Mantidae	Vatinae	Stagmatoptera_biocellata	macrottera
Staagr	NC_086820.1	Mantidae	Mantinae	Statilia_agresta	macrottera
Stafla	NC_065761.1	Mantidae	Mantinae	Statilia_flavobrunnea	macrottera
Stamac	NC_065760.1	Mantidae	Mantinae	Statilia_maculata	macrottera
Staspe	KU201316.1	Mantidae	Mantinae	Statilia_sp.	macrottera
Staspe2	OL414957.1	Mantidae	Mantinae	Statilia_sp._2	macrottera
Stepor	KY689118.1	Toxoderidae	Toxoderinae	Stenotoxodera_porioni	macrottera
Tamtam	NC_007702.1	Mantidae	Hierodulinae	Tamolanica_tamolana	macrottera
Tarala	KX434862.1	Mantidae	Tenoderinae	Tarachomantis_alaotrana	macrottera
Tausig	KX434817.1	Miomantidae	Miomantinae	Taumantis_sigiana	m(macrotteri)-f(brachittere)
Tenang	NC_065759.1	Mantidae	Tenoderinae	Tenodera_angustipennis	macrottera
Tenaribre	OK542393.1	Mantidae	Tenoderinae	Tenodera_aridifolia_brevicollis	macrottera
Tensin	NC_030266.1	Mantidae	Tenoderinae	Tenodera_sinensis	macrottera
Tenspe	OM202552.1	Mantidae	Tenoderinae	Tenodera_sp.	macrottera
Themac	NC_086832.1	Gonypetidae	Gonypetinae	Theopompa_maculosa	f(brachittere)
Themil	KX434849.1	Gonypetidae	Gonypetinae	Theopompa_milligratulata	f(brachittere)
Theoph	NC_086827.1	Gonypetidae	Gonypetinae	Theopompa_ophthalmica	f(brachittere)
Thespe	KU201314.1	Gonypetidae	Gonypetinae	Theopompa_sp.	f(brachittere)
Thecat	KX434829.1	Hymenopodidae	Hymenopodinae	Theopropus_cattulus	macrottera
Theele	KY689125.1	Hymenopodidae	Hymenopodinae	Theopropus_elegans	macrottera
Therub	KX434818.1	Hymenopodidae	Hymenopodinae	Theopropus_rubrobrunneus	macrottera
Thesin	NC_086823.1	Hymenopodidae	Hymenopodinae	Theopropus_sinecus	macrottera
Thespe	OM202564.1	Hymenopodidae	Hymenopodinae	Theopropus_sp.	macrottera
Toxhau	KX434837.1	Toxoderidae	Toxoderinae	Toxodera_hauseri	brachittera
Troten	NC_037205.1	Nanomantidae	Tropidomantinae	Tropidomantis_tenera	f(macrottere)
Yermex	MW357303.1	Amelidae	na	Yersinia_mexicana	f(attera)
